Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
H2afb2	H2A histone family, member B2	MGI:MGI:3644980	EG624153|H2A.Bbd4|H2afb2-ps
Myh6	myosin, heavy polypeptide 6, cardiac muscle, alpha	MGI:MGI:97255	A830009F23Rik|alpha cardiac MHC|alpha-MHC|alpha myosin|cardiomyopathy, hypertrophic 1|Myhca|Myhc-a
Myf6	myogenic factor 6	MGI:MGI:97253	bHLHc4|herculin|MRF4
Myf5	myogenic factor 5	MGI:MGI:97252	B130010J22Rik|bHLHc2|Myf-5
Myc	myelocytomatosis oncogene	MGI:MGI:97250	bHLHe39|c-myc|Myc2|Niard|Nird
Flt3l	FMS-like tyrosine kinase 3 ligand	MGI:MGI:95560	
Trim32	tripartite motif-containing 32	MGI:MGI:1917057	1810045E12Rik|3f3|BBS11|Zfp117
Myb	myeloblastosis oncogene	MGI:MGI:97249	c-myb
Mxi1	MAX interactor 1, dimerization protein	MGI:MGI:97245	bHLHc11|Mad2
Med6	mediator complex subunit 6	MGI:MGI:1917042	1500012F11Rik
Med30	mediator complex subunit 30	MGI:MGI:1917040	1810038N03Rik|2510044J04Rik|Thrap6|Trap25
Pphln1	periphilin 1	MGI:MGI:1917029	1110063K05Rik|1600022A19Rik|CR
Tshz2	teashirt zinc finger family member 2	MGI:MGI:2153084	2900073F20Rik|Mtsh2|Sdccag33l|teashirt2|Tsh2|Zfp218
Zfp511	zinc finger protein 511	MGI:MGI:1917002	2410004P19Rik
Trim37	tripartite motif-containing 37	MGI:MGI:2153072	1110032A10Rik|2810004E07Rik|MUL|TEF3
Foxo3	forkhead box O3	MGI:MGI:1890081	1110048B16Rik|2010203A17Rik|Fkhr2|FKHRL1|Foxo3a
Smyd1	SET and MYND domain containing 1	MGI:MGI:104790	4632404M21Rik|Bop
Foxo1	forkhead box O1	MGI:MGI:1890077	Afxh|FKHR|Fkhr1|Foxo1a
Vprbp	Vpr (HIV-1) binding protein	MGI:MGI:2445220	B930007L02Rik
Klf16	Kruppel-like factor 16	MGI:MGI:2153049	BTEB4|DRRF
Gcfc2	GC-rich sequence DNA binding factor 2	MGI:MGI:2141656	AW146020
Lrif1	ligand dependent nuclear receptor interacting factor 1	MGI:MGI:2445214	2010012G17Rik|4933421E11Rik
Kcp	kielin/chordin-like protein	MGI:MGI:2141640	Crim2|LOC333088
Kdm5a	lysine (K)-specific demethylase 5A	MGI:MGI:2136980	Jarid1a|Rbbp2|RBP2
Pias4	protein inhibitor of activated STAT 4	MGI:MGI:2136940	PIASy
Zfp326	zinc finger protein 326	MGI:MGI:1927246	5730470H14Rik|ZAN75
Tcerg1	transcription elongation regulator 1 (CA150)	MGI:MGI:1926421	2410022J09Rik|2900090C16Rik|ca150|Fbp28|p144|Taf2s
Sfrp4	secreted frizzled-related protein 4	MGI:MGI:892010	
Gsc2	goosecoid homebox 2	MGI:MGI:892006	4930568H22Rik|Gscl
Traf7	TNF receptor-associated factor 7	MGI:MGI:3042141	RFWD1
Ankra2	ankyrin repeat, family A (RFXANK-like), 2	MGI:MGI:1915808	
Zbtb22	zinc finger and BTB domain containing 22	MGI:MGI:1931870	1110008J20Rik|Bing1|Zfp297
Insm2	insulinoma-associated 2	MGI:MGI:1930787	mlt 1
Zfp37	zinc finger protein 37	MGI:MGI:99181	Tzn|Zfp-37
Tceanc	transcription elongation factor A (SII) N-terminal and central domain containing	MGI:MGI:2685236	A630018P17Rik|LOC245695
Arid3b	AT rich interactive domain 3B (BRIGHT-like)	MGI:MGI:1930768	Bdp|Dri2
Klf11	Kruppel-like factor 11	MGI:MGI:2653368	D12Ertd427e|Tieg2|Tieg2b|Tieg3
Taf5	TATA-box binding protein associated factor 5	MGI:MGI:2442144	6330528C20Rik
Gm14306	predicted gene 14306	MGI:MGI:3805542	
Ybx2	Y box protein 2	MGI:MGI:1096372	MSY2
Xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6	MGI:MGI:95606	G22p1|Ku70|Ku p70
Hmgn3	high mobility group nucleosomal binding domain 3	MGI:MGI:2138069	1110002A15Rik|6330514M13Rik|HMGN3a|HMGN3b|TRIP7
Gm14478	predicted gene 14478	MGI:MGI:3711282	
Gm14477	predicted gene 14477	MGI:MGI:3711280	
Mt3	metallothionein 3	MGI:MGI:97173	MT-3
Zfp386	zinc finger protein 386 (Kruppel-like)	MGI:MGI:1930708	
Bhlhe41	basic helix-loop-helix family, member e41	MGI:MGI:1930704	6430520M22Rik|Bhlhb3|DEC2|Sharp1
Trim6	tripartite motif-containing 6	MGI:MGI:2137352	C430046K18Rik|D7Ertd684e
Trim16	tripartite motif-containing 16	MGI:MGI:2137356	9130006M08Rik|EBBP
Tfpt	TCF3 (E2A) fusion partner	MGI:MGI:1916964	2400004F01Rik|Amida|FB1
Zfp707	zinc finger protein 707	MGI:MGI:1916270	1500031N24Rik
Gdf1	growth differentiation factor 1	MGI:MGI:95683	Gdf-1
Trp73	transformation related protein 73	MGI:MGI:1336991	deltaNp73|p73|TAp73
Atf7ip	activating transcription factor 7 interacting protein	MGI:MGI:1858965	2610204M12Rik|AM|ATFa-associated Modulator|Mcaf1
Kcnh8	potassium voltage-gated channel, subfamily H (eag-related), member 8	MGI:MGI:2445160	C130090D05Rik|ELK1|Kv12.1
Arhgef5	Rho guanine nucleotide exchange factor (GEF) 5	MGI:MGI:1858952	2210412D05Rik
Ppp2ca	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	MGI:MGI:1321159	PP2A
Mrgbp	MRG/MORF4L binding protein	MGI:MGI:1920497	1600027N09Rik
Bmper	BMP-binding endothelial regulator	MGI:MGI:1920480	3110056H04Rik|Crim3|crossveinless-2|Cv2|CV-2
Zcchc11	zinc finger, CCHC domain containing 11	MGI:MGI:2445126	6030404K05Rik|9230115F04Rik
3110052M02Rik	RIKEN cDNA 3110052M02 gene	MGI:MGI:1920479	
Zbtb42	zinc finger and BTB domain containing 42	MGI:MGI:3644133	Gm5188|simiRP58
Zfp770	zinc finger protein 770	MGI:MGI:2445100	6430601A21Rik
Chp1	calcineurin-like EF hand protein 1	MGI:MGI:1927185	1500003O03Rik|Sid470p|vac
Fezf1	Fez family zinc finger 1	MGI:MGI:1920441	3110069A13Rik|Fez|Zfp312-like
Zfp473	zinc finger protein 473	MGI:MGI:2442697	D030014N22Rik
Rslcan18	regulator of sex-limitation candidate 18	MGI:MGI:5433745	
Wasl	Wiskott-Aldrich syndrome-like (human)	MGI:MGI:1920428	2900021I12Rik|3110031I02Rik|N-WASP
Zfp451	zinc finger protein 451	MGI:MGI:2137896	4930515K21Rik|4933435G09Rik|Kiaa0576-hp
Mdm2	transformed mouse 3T3 cell double minute 2	MGI:MGI:96952	1700007J15Rik|Mdm-2
Nfx1	nuclear transcription factor, X-box binding 1	MGI:MGI:1921414	1300017N15Rik|3000003M19Rik|TEG-42|Tex42
Mdk	midkine	MGI:MGI:96949	Mek|MK
Dydc1	DPY30 domain containing 1	MGI:MGI:1916746	1700029M23Rik
Zfp524	zinc finger protein 524	MGI:MGI:1916740	0610012F07Rik|2300009P13Rik
Max	Max protein	MGI:MGI:96921	bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8
Ascl2	achaete-scute family bHLH transcription factor 2	MGI:MGI:96920	2410083I15Rik|bHLHa45|Mash2
Ascl1	achaete-scute family bHLH transcription factor 1	MGI:MGI:96919	ASH1|bHLHa46|Mash1
Mak	male germ cell-associated kinase	MGI:MGI:96913	A930010O05Rik
Mafg	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	MGI:MGI:96911	C630022N07Rik
Maff	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)	MGI:MGI:96910	
Six1	sine oculis-related homeobox 1	MGI:MGI:102780	
Maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	MGI:MGI:96909	2810401A20Rik|A230108G15Rik|c-maf
Mxd1	MAX dimerization protein 1	MGI:MGI:96908	Mad|Mad1
Zfp964	zinc finger protein 964	MGI:MGI:3646490	Gm7187
Commd10	COMM domain containing 10	MGI:MGI:1916706	2310003A05Rik|DRWMS2
Kmt2c	lysine (K)-specific methyltransferase 2C	MGI:MGI:2444959	E330008K23Rik|HALR|Mll3
Aim2	absent in melanoma 2	MGI:MGI:2686159	Ifi210|LOC383619
Cdkn1b	cyclin-dependent kinase inhibitor 1B	MGI:MGI:104565	p27|p27Kip1
Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	MGI:MGI:104564	CDKI|Kip2|p57Kip2
Rps6ka1	ribosomal protein S6 kinase polypeptide 1	MGI:MGI:104558	Rsk1
Rps6ka3	ribosomal protein S6 kinase polypeptide 3	MGI:MGI:104557	Rsk2
Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	MGI:MGI:104555	Kreisler|Krml|Krml1
Mitf	microphthalmia-associated transcription factor	MGI:MGI:104554	BCC2|bHLHe32|Gsfbcc2|mi|wh
Brca1	breast cancer 1, early onset	MGI:MGI:104537	
Zfp438	zinc finger protein 438	MGI:MGI:2444919	9430091M14Rik|B830013J05Rik
Mef2b	myocyte enhancer factor 2B	MGI:MGI:104526	
Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	MGI:MGI:104517	Ku80|Ku86
Bmp8a	bone morphogenetic protein 8a	MGI:MGI:104515	Bmp7r1|OP2|osteogenic protein 2
Tnfrsf4	tumor necrosis factor receptor superfamily, member 4	MGI:MGI:104512	ACT35|CD134|Ox40|Txgp1
Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4	MGI:MGI:104511	Ath1|Ath-1|CD134L|gp34|OX40L|TXGP1|Txgp1l
4933416C03Rik	RIKEN cDNA 4933416C03 gene	MGI:MGI:3588269	
Ctdp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	MGI:MGI:1926953	4930563P03Rik
Zfp655	zinc finger protein 655	MGI:MGI:1919861	2700038I16Rik|9030409O18Rik
Ccdc62	coiled-coil domain containing 62	MGI:MGI:2684996	LOC208908
Cytl1	cytokine-like 1	MGI:MGI:2684993	4930443F05Rik|C17
Ciart	circadian associated repressor of transcription	MGI:MGI:2684975	Gm129|LOC229599
Hoxa2	homeobox A2	MGI:MGI:96174	Hox-1.11
Zfp677	zinc finger protein 677	MGI:MGI:3053207	A830058L05Rik
Rfx8	regulatory factor X 8	MGI:MGI:3588206	4933400N17Rik
Zfp551	zinc fingr protein 551	MGI:MGI:3588205	9630004E07Rik
Zfp382	zinc finger protein 382	MGI:MGI:3588204	5930415A09Rik
Sohlh1	spermatogenesis and oogenesis specific basic helix-loop-helix 1	MGI:MGI:2684956	LOC227631|NOHLH
Hoxb8	homeobox B8	MGI:MGI:96189	Hox-2.4
Myrf	myelin regulatory factor	MGI:MGI:2684944	Gm98|LOC225908|LOC386531
Rcor2	REST corepressor 2	MGI:MGI:1859854	1A13|CoREST
Hes6	hairy and enhancer of split 6	MGI:MGI:1859852	bHLHb41
Hist1h2ai	histone cluster 1, H2ai	MGI:MGI:2448457	H2a-291A
Fam170a	family with sequence similarity 170, member A	MGI:MGI:2684939	LOC225497|Znfd
Prdm6	PR domain containing 6	MGI:MGI:2684938	LOC225518|PRISM
Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3	MGI:MGI:2441741	2310016P22Rik|9330170P05Rik|Epac1
Rnf6	ring finger protein (C3H2C3 type) 6	MGI:MGI:1921382	1200013I08Rik|5730419H05Rik
Fezf2	Fez family zinc finger 2	MGI:MGI:1859823	Fez|Fezl|forebrain embryonic zinc finger|Zfp312
Prdx5	peroxiredoxin 5	MGI:MGI:1859821	AOEB166|AOPP|peroxiredoxin V|PMP20|Prdx6|PrxV
Foxp4	forkhead box P4	MGI:MGI:1921373	1200010K03Rik|2310007G05Rik
Zfp263	zinc finger protein 263	MGI:MGI:1921370	1200014J04Rik|mFPM315|NT2
Usp16	ubiquitin specific peptidase 16	MGI:MGI:1921362	1200004E02Rik|2810483I07Rik|6330514E22Rik|UBP-M
Lyl1	lymphoblastomic leukemia 1	MGI:MGI:96891	bHLHa18|Lyl-1
Med13	mediator complex subunit 13	MGI:MGI:3029632	1110067M05Rik|Thrap1|Trap240
Dcaf6	DDB1 and CUL4 associated factor 6	MGI:MGI:1921356	1200006M05Rik|Iqwd1|PC326
Lmo3	LIM domain only 3	MGI:MGI:102810	Rbtn3|Rbtn-3
Rhox3a	reproductive homeobox 3A	MGI:MGI:2676626	LOC382209|Prx|Rhox3|testis expressed homeobox 2
Sp100	nuclear antigen Sp100	MGI:MGI:109561	A430075G10Rik
Wbp5	WW domain binding protein 5	MGI:MGI:109567	
Scmh1	sex comb on midleg homolog 1	MGI:MGI:1352762	Scml3
Taf1c	TATA-box binding protein associated factor, RNA polymerase I, C	MGI:MGI:109576	mTAFI95
Taf1b	TATA-box binding protein associated factor, RNA polymerase I, B	MGI:MGI:109577	4930408G01Rik|A230108M10Rik|mTAFI68|p63
Pdx1	pancreatic and duodenal homeobox 1	MGI:MGI:102851	IDX-1|Ipf1|IPF-1|Mody4|pdx-1|STF-1
Abra	actin-binding Rho activating protein	MGI:MGI:2444891	C130068O12Rik|STARS
Ltf	lactotransferrin	MGI:MGI:96837	lactoferrin|Lf
L3mbtl4	l(3)mbt-like 4 (Drosophila)	MGI:MGI:2444889	A730037L19Rik|D930040M24Rik
Dpf1	D4, zinc and double PHD fingers family 1	MGI:MGI:1352748	Neud4|neuro-d4
Tlr4	toll-like receptor 4	MGI:MGI:96824	lipopolysaccharide response|Lps|Rasl2-8
Nkx6-2	NK6 homeobox 2	MGI:MGI:1352738	Gtx|Nkx6.2
Creb3l4	cAMP responsive element binding protein 3-like 4	MGI:MGI:1916603	1700012K17Rik|5330432F22Rik|ATCE1|JAL|mJAL|Tisp40|Tisp40alpha|Tisp40beta
Zfp488	zinc finger protein 488	MGI:MGI:2686052	LOC382867
Nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta	MGI:MGI:1931595	Mail
Mycs	myc-like oncogene, s-myc protein	MGI:MGI:1332242	
Nrf1	nuclear respiratory factor 1	MGI:MGI:1332235	D6Ertd415e
Zfp148	zinc finger protein 148	MGI:MGI:1332234	2210405J08Rik|BERF-1|beta enolase repressor factor 1|BFCOL1|ZBP-89
Rhoq	ras homolog family member Q	MGI:MGI:1931553	Arhq|TC10
Zfp827	zinc finger protein 827	MGI:MGI:2444807	2810449M09Rik|D630040G17Rik
Prdm14	PR domain containing 14	MGI:MGI:3588194	
Zscan18	zinc finger and SCAN domain containing 18	MGI:MGI:3643810	EG232875
Hist1h1e	histone cluster 1, H1e	MGI:MGI:1931527	H1-4|H1e|H1f4|H1s-4|H1var2
Hist1h1c	histone cluster 1, H1c	MGI:MGI:1931526	0610008C09Rik|H1.2|H1c|H1f2|H1var1
Igsf1	immunoglobulin superfamily, member 1	MGI:MGI:2147913	
Trim40	tripartite motif-containing 40	MGI:MGI:2684881	LOC195359|LOC240093|LOC333872
H2afb1	H2A histone family, member B1	MGI:MGI:1915481	1700113O17Rik|H2AL2|Tseg1
Foxj2	forkhead box J2	MGI:MGI:1926805	Fhx
Prdm13	PR domain containing 13	MGI:MGI:2448528	
Nlk	nemo like kinase	MGI:MGI:1201387	
Anxa3	annexin A3	MGI:MGI:1201378	Anx3
Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	MGI:MGI:2684845	4632430A05Rik|bHLHe6|BMAL2|MOP9
Ttf2	transcription termination factor, RNA polymerase II	MGI:MGI:1921294	4632434F22Rik
Csrnp1	cysteine-serine-rich nuclear protein 1	MGI:MGI:2387989	4931429D10Rik|Axud1|CSRNP-1|taip-3
Nfam1	Nfat activating molecule with ITAM motif 1	MGI:MGI:1921289	4921501M20Rik
Suv420h1	suppressor of variegation 4-20 homolog 1 (Drosophila)	MGI:MGI:2444557	C630029K18Rik|KMT5B|Suv4-20h1
Barx2	BarH-like homeobox 2	MGI:MGI:109617	2310006E12Rik|Barx2b
Neurog2	neurogenin 2	MGI:MGI:109619	Atoh4|bHLHa8|Math4A|ngn2
Gtf2f1	general transcription factor IIF, polypeptide 1	MGI:MGI:1923848	2810405L04Rik
Zfp457	zinc finger protein 457	MGI:MGI:2664334	Rslcan-6
Traf3ip1	TRAF3 interacting protein 1	MGI:MGI:1921269	3930402D05Rik|MIP-T3
Phf19	PHD finger protein 19	MGI:MGI:1921266	3110009G19Rik|3321402G02Rik
Rgs14	regulator of G-protein signaling 14	MGI:MGI:1859709	Rap1/rap2 interacting protein
Mycl	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived	MGI:MGI:96799	bHLHe38|L-myc|Lmyc1|Lmyc-1|Mycl1
Lmna	lamin A	MGI:MGI:96794	Dhe|lamin A/C
Ube2n	ubiquitin-conjugating enzyme E2N	MGI:MGI:1934835	UBC13
Lif	leukemia inhibitory factor	MGI:MGI:96787	
Lhx2	LIM homeobox protein 2	MGI:MGI:96785	ap|apterous|Lh-2|LH2A
Erf	Ets2 repressor factor	MGI:MGI:109637	
Zfhx4	zinc finger homeodomain 4	MGI:MGI:2137668	C130041O22Rik|Zfh4|Zfh-4
Psmd10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	MGI:MGI:1858898	gankyrin
Hnrnpdl	heterogeneous nuclear ribonucleoprotein D-like	MGI:MGI:1355299	D5Ertd650e|D5Wsu145e|hnRNP-DL|Hnrpdl|JKTBP
Hck	hemopoietic cell kinase	MGI:MGI:96052	Bmk|Hck-1
Hesx1	homeobox gene expressed in ES cells	MGI:MGI:96071	HES-1|Rpx
Atad2b	ATPase family, AAA domain containing 2B	MGI:MGI:2444798	1110014E10Rik|D530031C13Rik
Taf1	TATA-box binding protein associated factor 1	MGI:MGI:1336878	B430306D02Rik|Ccg1|Ccg-1|KAT4|Taf2a
Timeless	timeless circadian clock 1	MGI:MGI:1321393	tim
Parp10	poly (ADP-ribose) polymerase family, member 10	MGI:MGI:3712326	
Hist2h2aa1	histone cluster 2, H2aa1	MGI:MGI:96097	H2a-615|Hist2
Zhx3	zinc fingers and homeoboxes 3	MGI:MGI:2444772	1810059C13Rik|4932418O04Rik|9530010N21Rik|Tix1
Ing2	inhibitor of growth family, member 2	MGI:MGI:1916510	2810011M06Rik|Ing1l|P33ING2
Zfp418	zinc finger protein 418	MGI:MGI:2444763	A230102I05Rik
Hoxd3	homeobox D3	MGI:MGI:96207	Hox-4.1|Hox-5.5
Elf2	E74-like factor 2	MGI:MGI:1916507	2610036A20Rik|A230104O07Rik|NERF-2
Mirlet7a-1	microRNA let7a-1	MGI:MGI:2676793	Let-7a|Mirnlet7a|Mirnlet7a-1|mmu-let-7a-1
Mirlet7f-2	microRNA let7f-2	MGI:MGI:2676799	Mirnlet7f2|mmu-let-7f-2
Gm5382	predicted gene 5382	MGI:MGI:3643774	
Chd7	chromodomain helicase DNA binding protein 7	MGI:MGI:2444748	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|Gena 52|GENA 60|Lda|Mt|Obt|Todo|WBE1|Whi
Arid5a	AT rich interactive domain 5A (MRF1-like)	MGI:MGI:2443039	D430024K22Rik|Mrf1
Pfn1	profilin 1	MGI:MGI:97549	actin binding protein|Pfn
Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	MGI:MGI:2445102	3110057P17Rik|9430096J02Rik|Ddx33
Meaf6	MYST/Esa1-associated factor 6	MGI:MGI:1917338	2310005N01Rik|2810036M01Rik
Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2	MGI:MGI:1353449	2310047A08Rik|4732414G15Rik|dsRNA-activated kinase|eIF-2 alpha|IFN-induced and double-stranded RNA-activated kinase|IFN- type I-induced and dsRNA-activated kinase|Pkr|Prkr|Tik
Pdgfb	platelet derived growth factor, B polypeptide	MGI:MGI:97528	PDGF-B|Sis
Zhx2	zinc fingers and homeoboxes 2	MGI:MGI:2683087	Afr1|Afr-1|Raf
Egr1	early growth response 1	MGI:MGI:95295	A530045N19Rik|Egr-1|ETR103|Krox-1|Krox24|Krox-24|NGF1-A|NGFIA|NGFI-A|TIS8|Zenk|Zfp-6|Zif268
Mapk12	mitogen-activated protein kinase 12	MGI:MGI:1353438	Erk6|P38gamma|Prkm12|Sapk3
Zfp292	zinc finger protein 292	MGI:MGI:1353423	5730450D02Rik|9430062L07Rik|Krox-10|Zfp15|Zfp-15|Zn-15|Zn-16
Irf7	interferon regulatory factor 7	MGI:MGI:1859212	
Pck1	phosphoenolpyruvate carboxykinase 1, cytosolic	MGI:MGI:97501	Pck-1|PEPCK
Fstl3	follistatin-like 3	MGI:MGI:1890391	E030038F23Rik|Flrg
Egln1	egl-9 family hypoxia-inducible factor 1	MGI:MGI:1932286	Hif-p4h-2|ORF13|Phd2|SM-20
Zxdc	ZXD family zinc finger C	MGI:MGI:1933108	B930086F11Rik
Spx	spexin hormone	MGI:MGI:2442262	B230216G23Rik
Zfp367	zinc finger protein 367	MGI:MGI:2442266	8030486J21Rik|ZFF29a|ZFF29b
Atf6b	activating transcription factor 6 beta	MGI:MGI:105121	ATF6beta|Crebl1|Creb-rp
Rhox13	reproductive homeobox 13	MGI:MGI:1920864	1700123J19Rik
Zfp433	zinc finger protein 433	MGI:MGI:1920860	1700123A16Rik
Rbl1	retinoblastoma-like 1 (p107)	MGI:MGI:103300	p107
Ctnnd1	catenin (cadherin associated protein), delta 1	MGI:MGI:105100	Catns|Ctnnd|P120|p120-catenin
Gm20517	predicted gene 20517	MGI:MGI:5141982	
Rab7b	RAB7B, member RAS oncogene family	MGI:MGI:2442295	5430435G22Rik
Prkd2	protein kinase D2	MGI:MGI:2141917	PKD2
Stk36	serine/threonine kinase 36	MGI:MGI:1920831	1700112N14Rik|Fused
Vgll3	vestigial like family member 3	MGI:MGI:1920819	1700110N18Rik|Vito-2
Foxb1	forkhead box B1	MGI:MGI:1927549	C43|Fkh5|Foxb1a|Foxb1b|Hfh-e5.1|Mf3|TWH
Mir329	microRNA 329	MGI:MGI:3619341	mir 329|Mirn329|mmu-mir-329
Hsf5	heat shock transcription factor family member 5	MGI:MGI:2685585	LOC327992
Tcf25	transcription factor 25 (basic helix-loop-helix)	MGI:MGI:1914105	1100001J13Rik|1810041K11Rik|D8Ertd325e|Nulp1
Trim62	tripartite motif-containing 62	MGI:MGI:1914775	6330414G21Rik|Dear1
Halr1	Hoxa adjacent long noncoding RNA 1	MGI:MGI:3705267	Gm15055|Haunt|linc-Hoxa1|Linchoxa1
Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	MGI:MGI:1917372	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e
Hes2	hairy and enhancer of split 2 (Drosophila)	MGI:MGI:1098624	HES-2
Prdm11	PR domain containing 11	MGI:MGI:2685553	8030443D09Rik
Ikzf4	IKAROS family zinc finger 4	MGI:MGI:1343139	A630026H08Rik|Eos|Zfpn1a4
Psmc3ip	proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein	MGI:MGI:1098610	HOP2|Tbpip
9130019O22Rik	RIKEN cDNA 9130019O22 gene	MGI:MGI:1926171	
Wdtc1	WD and tetratricopeptide repeats 1	MGI:MGI:2685541	adipose|adp|LOC230796
Chek1	checkpoint kinase 1	MGI:MGI:1202065	Chk1
Zfp512	zinc finger protein 512	MGI:MGI:1917345	2500002M11Rik
Kat2a	K(lysine) acetyltransferase 2A	MGI:MGI:1343101	1110051E14Rik|Gcn5|Gcn5l2|PCAF-B/GCN5
Ppp1r13l	protein phosphatase 1, regulatory (inhibitor) subunit 13 like	MGI:MGI:3525053	IASPP|NFkB interacting protein 1|wa3
Pid1	phosphotyrosine interaction domain containing 1	MGI:MGI:2138391	5033414K04Rik
Pbx3	pre B cell leukemia homeobox 3	MGI:MGI:97496	
Pbx1	pre B cell leukemia homeobox 1	MGI:MGI:97495	2310056B04Rik|D230003C07Rik|Pbx-1|Pbx1a|Pbx1b
Pax9	paired box 9	MGI:MGI:97493	Pax-9
Pax7	paired box 7	MGI:MGI:97491	Pax-7
Pax5	paired box 5	MGI:MGI:97489	EBB-1|Pax-5
Pax4	paired box 4	MGI:MGI:97488	Pax-4
Pax3	paired box 3	MGI:MGI:97487	Pax-3|Splchl2
Pax2	paired box 2	MGI:MGI:97486	Opdc|Pax-2
Dmrta2	doublesex and mab-3 related transcription factor like family A2	MGI:MGI:2653629	Dmrt5
Dmrta1	doublesex and mab-3 related transcription factor like family A1	MGI:MGI:2653627	Dmrt4
EU599041	expressed sequence EU599041	MGI:MGI:3796554	
Pam	peptidylglycine alpha-amidating monooxygenase	MGI:MGI:97475	PHM
Wwc1	WW, C2 and coiled-coil domain containing 1	MGI:MGI:2388637	Kibra
Ino80b	INO80 complex subunit B	MGI:MGI:1917270	2510009I23Rik|HMG1YL4|Hmga1l4|Papa1|Znhit4
Sumo2	small ubiquitin-like modifier 2	MGI:MGI:2158813	Smt3b|Smt3h2
Otx2	orthodenticle homeobox 2	MGI:MGI:97451	E130306E05Rik
Otx1	orthodenticle homeobox 1	MGI:MGI:97450	A730044F23Rik|jv
Emx2	empty spiracles homeobox 2	MGI:MGI:95388	Pdo
Crebzf	CREB/ATF bZIP transcription factor	MGI:MGI:2675296	1110034C16Rik|6330417B10Rik|LAZip|LAZipII|Zf
Adcyap1	adenylate cyclase activating polypeptide 1	MGI:MGI:105094	PACAP
E2f5	E2F transcription factor 5	MGI:MGI:105091	E2F-5
AI607873	expressed sequence AI607873	MGI:MGI:2138302	
Mid2	midline 2	MGI:MGI:1344333	FXY2|Trim1
Pou2af1	POU domain, class 2, associating factor 1	MGI:MGI:105086	Bob1|Bob-1|BOB.1|OBF-1|OBF.1|OCAB|OCA-B
Grem1	gremlin 1, DAN family BMP antagonist	MGI:MGI:1344337	Cktsf1b1|Drm|Grem|gremlin
Satb1	special AT-rich sequence binding protein 1	MGI:MGI:105084	2610306G12Rik
Zbtb14	zinc finger and BTB domain containing 14	MGI:MGI:1195345	b2b1982Clo|ZF5|Zfp161
Tunar	Tcl1 upstream neural differentiation associated RNA	MGI:MGI:1917202	2810011L19Rik|TUNA
Zbtb1	zinc finger and BTB domain containing 1	MGI:MGI:2442326	C430003J21Rik
Trrap	transformation/transcription domain-associated protein	MGI:MGI:2153272	transactivation/transformation-domain associated protein
Zfp937	zinc finger protein 937	MGI:MGI:3644476	Gm4979
Hsph1	heat shock 105kDa/110kDa protein 1	MGI:MGI:105053	Hsp105|HSP110|hsp110/105|hsp-E7I
Irx2	Iroquois related homeobox 2 (Drosophila)	MGI:MGI:1197526	IRX6
P2ry1	purinergic receptor P2Y, G-protein coupled 1	MGI:MGI:105049	P2Y1|P2Y1 receptor
Psmc5	protease (prosome, macropain) 26S subunit, ATPase 5	MGI:MGI:105047	mSUG1
Ahr	aryl-hydrocarbon receptor	MGI:MGI:105043	Ah|Ahh|Ahre|bHLHe76|dioxin receptor|In
Irx1	Iroquois related homeobox 1 (Drosophila)	MGI:MGI:1197515	
Chd4	chromodomain helicase DNA binding protein 4	MGI:MGI:1344380	9530019N15Rik|D6Ertd380e|Mi-2beta
Dnajb6	DnaJ heat shock protein family (Hsp40) member B6	MGI:MGI:1344381	mDj4|Mrj
Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	MGI:MGI:105037	2600009A06Rik|Hlr1|p68
Atf5	activating transcription factor 5	MGI:MGI:2141857	AFTA|Atf7|Atfx|ODA-10
Zfp653	zinc finger protein 653	MGI:MGI:2442362	E430039K05Rik
Mbd3l1	methyl-CpG binding domain protein 3-like 1	MGI:MGI:1920753	1700070G05Rik|1700095H13Rik|Mbd3l
Bmp15	bone morphogenetic protein 15	MGI:MGI:1316745	Bmp-15|GDF-9B
